id,sort_order,time,duration_minutes,location,cue,craving,response,reward,area_id,habit_id,day_variant,active,is_draft,time_of_day
1,0,03:30,10,"my bed","hear my signature alarm clock | or | simply wake up","it's my time to shine 🌞 again because my mornings are all about IBE 😌...let's start off by stretching that IBE Body 🧘🏽‍♀️in 🛏","stretch & kegel","Getting my body and center in motion for my morning routine",,,,1,0,
2,0,03:40,20,"my bathroom","think about relasing the old, and capturing the new | think about setting the tone for my day","I need to use the restroom before weighing myself plus daily weigh-ins are like a tempature gage in the ""ice cube on a table"" example | habit and discipline is the way by which my desired life becomes my actual life so I effortlessly","review and solidify my DPT whilst using the restroom, then weigh myself and log the weight in my body measurements tracker","being clear on doing what needs to be done | Detoxing my body to get a more accurate reading on my weight and seeing the small degree changes that'll eventually lead to a major breakthrough",,,,1,0,
3,0,04:00,20,"my kitchen / my laundry room","think about fueling my upcoming cardio workout","my lemon water detoxes and lubricates my body for my morning routine and | cardiovascular training on an empty stomach, prior to weightlifting, can create deficiencies during my training process and | having my hydration and fuel for my workout helps my endurance","start my oatmeal, drink my lemon water with supplements | then head downstairs to start a load | Mon: Yellow/Brown then Dark, | Tues: Blue then Red/Pink/Purple, | Wed: White then Light/Grey, | Thur: Underwear, | Fri: Delicate then Athletic | eat my pre-workout oatmeal while making my protein drink and pulling my protein bar","Lubricating my body for my morning workout, Properly fueling my body for the cardiovascular training, and ensuring I have clean clothes",,,,1,0,
4,0,04:20,15,"my bathroom","think about getting ready for my workout","I use my favorite toothpaste/toothbrush and reciting my affirmations corrects my belief system so that my subconscious matches my consciousness","brush my teeth, wash my face, and recite my affirmations in the mirror","Removing impurities from my mouth, face, and mind so I can focus during my morning workout",,,,1,0,
5,0,04:35,5,"my bedroom","hear my signature workout alarm clock","looking good is akin to feeling good","get dressed in my sexy fit & fresh uniform to move my body","Looking and feeling good for my morning workout",,,,1,0,
6,0,04:40,15,"my car","tie up my workout shoes","when I see my fine self in my mirror I appreciate what being disciplined does for me","grab my protein drink & bar, headphones, gym bag, and keys then head to the gym","Being ready to dive into my morning workout on time so no need to rush!!!😁",,,,1,0,
7,0,04:55,150,"my gym","see the gym door","everday I move my body, I show how grateful I am of how it moves, develops, and grows","exercise my body & mind | Day 1: Mobility, Cycle, Baking Buns | Day 2: Mobility, Cycle, Baking Buns | Day 3: Mobility, Cycle, Baking Buns | Day 4: Rest | Day 5: Mobility, Cycle, Baking Buns | Day 6: Mobility, Cycle, Baking Buns | Day 7: Mobility, Cycle, Baking Buns","Activating my strength in new ways for the first time and building on the gains from the previous day",,,,1,0,
8,0,07:25,5,"my car","think about restoring my skin, hair, and body at home | & | hear my signature Kid's alarm clock","workout recovery is just as important as the workout | & | they are starting their day","grab my protein drink & bar, headphones, gym bag, and keys then head home | I'll greet them a great moring wake up call to help them get centered like me 😌","Keeping on a tight schedule that allows me to breakdown THEN build-up my body | & | Starting their mornings with love and helping them enjoy another day of their life",,,,1,0,
9,0,07:30,15,"my bedroom / my kitchen / hall bathroom","think about how quickly I need to rebuild and recover the muscles I just broke down","workout recovery is just as important as the workout","start my post-workout meal, boil the 2 big pots of water, clean the tub, setup my ceiling light, get undressed, put dirty clothes in correct basket, and then finish post-workout meal","Setting up my workout recovery, removing soiled clothes, and restoring my nutrition",,,,1,0,
10,0,07:45,20,"my bathroom","discard post-workout meal trash","I excreted impurities out my skin and scalp while working out so I need to remove the impurities asap to keep my skin and scalp healthy before my Epsom Salt soak","take a shower and wash/rinse hair","Having clean skin for my Epsom Salt soak",,,,1,0,
11,0,08:05,45,"my hall bathroom","think about soaking these tired muscles | realize, as I'm soaking, of the deliberate power I have over my life and my day","my relaxing bath alleviates muscle soreness, reduce inflammation, and promote relaxation | I am perfect, empowered, meant, and desired to be here","stop up the tub, start running the cold water, pour both pots of boiling water in the tub, pour 2 cups of Epsom Salt in the tub, start ceiling lights, ease on in and soak on each side for 10 mins, then unstop tub, and do a final rinse off | center the herb, temp, lighting, angle, and position around myself so I can do the necessary work to document my progress and program (recalling my waking dreams, thinking and speaking out loud through the playback","Having hair, scalp, and skin primed for my restorative regimen | Escaping into my most safest place (so I get the navigation back to me by reviewing myself in all 5 places, UnPuzzle Life, I get into the frequency of peace and tranquility then I recieve. So, after sifting though my findings, I appreciate what I have, imagine what I want, and recieve my replishment | I've never stopped being a pioneer. I just was too sick and unhealthy to settle in the new found land. But I judged myself because I hadn't reached permamnent peace & tranquility yet. | My question to myself: How could I fall past pain and deep into suffeing when I know what I know and have overcome whtat I have? | My answer to myself: I made the wrong choice in who I had in my enviorment. I didn't stay cognizant to how environment drives expereince. If only I had did ""My Best"" in choosing the right people in my enviornment, I would have permanent peace and tranquility by now. | The reality: ""My Best"" in choosing the right people had less to do with the wisdom, from prior breakthroughs, and more to do with me having inner resolve. Inner resolve is the steadfast commitment and internal fortitude to persist in your goals or values, especially when faced with adversity, turmoil, or systemic obstacles. It acts as a psychological anchor, providing the ""flexible steadiness"" needed to remain focused while the ""tides of the times rise and fall"". So, instead of just looking back at my prior breakthroughs and saying oh yeah I can get through this current one because I got through this or that in the past, I needed inner resolve in the current moment so that my pain didn't turn into suffering. You see pain is inevitable, but suffering is optional. Pain is inevitable because it is characteristic of life, while suffering is optional because it is a reaction to pain. Suffering comes only after pain has been experienced in life but once suffering is established it no longer needs pain to keep it going or growing. Pain is dependent on life while suffering can become self-sufficient. You seeCLICK | Pain is a person’s experience of emotional or psychological discomfort. So, it’s the experience they went through CLICK | Suffering is their interpretation and emotional response to that discomfort. So, it’s the interpretation of the experience. And guess what, there are no rules or laws to that interpretation because CLICK | suffering can be influenced by factors such as personal beliefs, coping mechanisms, support systems, and individual resilience. | Ok, so we established the difference, now what’s the problem exactly and how do we solve it? CLICK FOR NEXT SLIDE | As I expereince pain, ""My Best"" will change but the saving grace to avoid  on a highlight reel of my prior breakthroughs, I'm better off basing it in how I can internally resolve what I'm going through in real time | The backstory: I was looking at suffering like a valley near the base of a mountain and permamnent peace and tranquility at the peak of that moutain. I thought every breakthrough was like gaining a foothold on a higher rock for my climb up the mountain. So as I climbed, I thought the days of suffering were far behind me. I made it to the top of that mountain then realized I had to jump off that motherfucker to save myself. As I was falling from my emergency jump, I realized that mountain wasn't neccessary, it was a choice. Life is a journey and there are many paths you can choose to follow and each of those paths have different terrains you'll encounter. Other examples are valleys, hills, plains, deserts, plateaus, canyons, and even different bodies of water. Each type has unique features that influence your experience. So, the path I chose contained a mountain. And even though I made it to the top, my journey didn't stop there because, in reality, there is no top or end. There's just when life ends. Until  life ends, your journey will keep on going. | The reality cont'd: ""My Best' is actually referred to as inner resolve which  is ""My Best"", not prior breakthroughs like some highlight reel. I'm better off basing it in how I can internally resolve what I'm going through in real time. As I mentioned before, so long as your life continues, so does your journey no matter what you've accomplished. Since the journey continues, pain is ineviatable but suffering remains a sizeable option. Inner resolve is what opts you out of suffering.",,,,1,0,
12,0,08:50,10,"my bedroom","hang my towel up to dry","the shower removed impurities, but it also removed the protections from my last regimen so I need to restore it to keep my skin healthy","apply butt cream, face cream, face sunscreen, foot & crevice cream, body cocoa butter, and hair oil while stretch posing","Having hair, scalp, and skin protected from pollutants and dirt",,,,1,0,
13,0,09:00,5,"my bedroom","stop posing","it's just the right amount of sexy to keep me visually aware and proud of my physical appearance","get dressed with leggings to accentuate my lower curves and crop top / Dryfit top to accentuate my upper curves","Getting dressed in a fit & sexy way to keep me visually aware and proud of my physical appearance",,,,1,0,
14,0,09:05,5,"my house","see my clean clothes dwindle down a bit","my laundry needs to dry & I need to wash my next load","move washed laundry to dryer, | Mon: then Dark, | Tues: then Red/Pink/Purple, | Wed: then Light/Grey, | Thur: still washing | Fri: then Athletic","Keeping my clothes ready for my day",,,,1,0,
15,0,09:10,155,"my office","think about getting my workday started","getting myself together before solutioning is excellence 😌","check my calendar, and block off meeting preparation time and find where I can fit Laundry Folding in my Workday","Being a considerate person and casting another vote for being the best at what I do",,,,1,0,
16,0,11:45,30,"my office","cast another vote for being on top of my shit by touching all businesses","staying on top of everything is my system of clarity","check & write down each business's next steps","Being prepared for what's to come with my projects",,,,1,0,
17,0,12:15,30,"my kitchen","hear my signature lunch alarm clock","eating a healthy lunch at the same time each day helps my bodily systems function optimally because they're operating on abundance not scarcity","fix and consume lunch","Casting a vote for bodily systems to work optimally",,,,1,0,
18,0,12:45,15,"my office corner","think about setting the tone for Thee Sweetest Taboo, posting my meditation video and or recording a Good Afternoon Word of the Day","this is my way of sharing my daily bread with the people I get to reach","post my video and word of the day to Theesweetesttaboo.com and connected socials","helping the people I get to reach shift from fear and suffering to love and pleasure",,,,1,0,
19,0,13:00,40,"my office","focus on reducing my mail clutter","I need to do this daily in order to keep clutter down and stay on top of my business | + my laundry needs to dry & I need to make the washer available for others","make BH calls & | run my mailing system: | CTA/INFO | RECYCLE | SHRED | + pull 1st load out and move 2nd load into dryer","Keeping a tidy mail area, being aware of any mailed CTA/INFO, and making BH calls",,,,1,0,
20,0,13:40,125,"my office","focus back on work","this work not only funds our lifestyle, it develops my expertise and increases my income producing level","work on business for 2 uninterrupted hours","Securing the labor that produces our fruits",,,,1,0,
21,0,15:45,30,"my car","hear the alarm to pick-up the kids","building our brain muscle is something we do everyday","pick up the kids from school and find out their day was and 1-2 things they learned or found exciting","Being actively engaged in their growth and development",,,,1,0,
22,0,16:15,30,"my office","focus on wrapping up my work day | they will be thinking of their afterschool snack","timekeeping piles up on me when it isn't a daily effort and staying on top of everything is my system of clarity | their afternoon snack fuels them for their homework","log HRDL Time and list tomorrow's to-dos | they will enjoy their snack a little bit of screen time","Staying on top of timekeeping and being prepared for what's to come with my clients and projects for the next day | getting to enjoy a good meal and a fun activity",,,,1,0,
23,0,16:45,60,"my office/applicable building","focus on my ""chore of the day"" | they will focus on their homework","I won't rise to my goal of keeping a clean & tidy house, I will fall to my clean & tidy systems which this is exactly that | homework reinforces what they are learning","Mon: DC My Bath/Bedroom | Tue: DC Kitchenette | Wed: DC Laundry Room | Thur: Run Errands | Friday: D&P Storage Areas | they will sit at their desk, stimulant free, and complete their homework","Keeping a clean & tidy house | Staying on top of their studies so they can enjoy learning",,,,1,0,
24,0,17:45,180,"applicable area","focus on family time","family time is an awesome time to enjoy ours together and make wonderful memories","(Sun & Thurs spend time meal prepping) eat dinner anywhere between 6-8PM & attend extracurricular activities, game night, or movie night | 8pm complete nightly family chores","Having a great meal and time with my family | keep a clean and tidy house",,,,1,0,
25,0,20:45,5,"kid's bathroom","focus on the Kid's night time routine","brushing at night is more effective at stopping plaque and germs from forming cavities when compared to brushing at morning","ensure kids brush their teeth","Keeping my Kid's mouth healthy and pain-free",,,,1,0,
26,0,20:50,20,"kid's bathroom","see the shower","after a long day of school and play, there are impurities on their skin and clothes","ensure kids get undressed & washed up","Removing impurities from my little one's skin",,,,1,0,
27,0,21:10,5,"kid's bathroom/laundry room/kid's room","see their dirty clothes","they need to keep laundry together and the shower removed impurities, but it also removed the protections from their last mositurizing so they need to restore it","ensure kids put away dirty clothes, mositurize & spray body, then get dressed","Keeping a tidy laundry area and having the Kid's hair, scalp, and skin protected from pollutants and dirt",,,,1,0,
28,0,21:15,15,"kid's room","focus on getting them in the bed","a nice snuggly routine that they can depend on ensures they will stick to it and get the rest they need","tuck kids into bed and read a bedtime story","Having Kid's snuggly tucked in their beds and drifting off to dreamland",,,,1,0,
29,0,21:30,5,"my office","focus on my night time routine","brushing at night is more effective at stopping plaque and germs from forming cavities when compared to brushing at morning","brush teeth then get undressed","Keeping my mouth healthy and pain-free",,,,1,0,
30,0,21:35,10,"my office/my office bathroom","see my dirty clothes","after a long day, there are impurities on my skin and clothes that I don't want to sleep in","put my dirty clothes away then take a quick evening wash/exfoliation","Removing impurities from my skin so I sleep well",,,,1,0,
31,0,21:45,10,"my office","hang my towel up to dry","the shower removed impurities, but it also removed the protections from my last regimen so I need to restore it to keep my skin healthy","apply eyelash/brow castor oil, butt cream, face cream, body cocoa butter, and crevice cream while stretch posing","Having skin protected from pollutants and dirt",,,,1,0,
32,0,21:55,5,"my office","stop posing","it's just the right amount of sexy to keep me visually aware and proud of my physical appearance","get dressed with nite gown to accentuate my curves and tie up my hair","Getting dressed in a relaxing & sexy way that keeps me visually aware and proud of my physical appearance",,,,1,0,
33,0,22:00,3,"my kitchen / my laundry room / my bedroom","focus on setting my morning environment","my lemon water detoxes and lubricate my body for my morning routine","grab lemon water, start a load of laundry, then place water on nightstand","Setting my environment to support my healthy habit",,,,1,0,
34,0,22:03,7,"my bedroom","focus on getting into bed","I deserve to rest this beautiful body and mind of mine after the great efforts and contributions I made today","slide into bed, say my nightly prayers, and drift off to dreamland","Getting the rest I deserve and require, and having my desired life becoming my actual life by habit so I effortlessly live out my desires",,,,1,0,
38,0,08:05,15,"my bathtub",,"it's after working out, while soaking, and before working ",Microdose,"getting back centered ",1,7,,1,0,morning
39,0,10:00,45,"my fav grocery store",,"I get the best deals and freshes quality ","shops effortlessly ","saving money and eating quality good",10,8,,1,0,late_morning
