id,content,notes,processed,processed_as,deleted_at,reference_area_id,reference_project_id,created_at,area_id
1,"Junior has a failed trip coming up and I think they need volunteers",,1,action,,,,2026-03-29T10:38:38.341Z,
2,"Get milk",,1,project,,,,2026-03-29T14:16:04.510Z,
3,"Test 1",,1,project,,,,2026-03-29T14:18:32.180Z,
5,"Test 2",,1,project,,,,2026-03-29T14:27:39.446Z,
6,"Project item test",,1,project,,,,2026-03-29T14:43:03.320Z,
7,"Project item test action",,1,action,,,,2026-03-29T14:43:57.890Z,
8,"Inbox test 1",,1,someday,,,,2026-03-29T14:47:45.172Z,
9,Dhfdg,,1,reference,,5,5,2026-03-29T15:57:44.092Z,
10,Jfgj,,0,,,,,2026-03-30T14:26:17.269Z,4
11,"I need pads",,1,project,,,,2026-03-30T14:28:11.234Z,10
12,Rgdd,,1,reference,,6,,2026-03-30T14:31:35.249Z,6
13,"Project Item Test action then task",,1,project,,,,2026-03-30T14:55:44.344Z,5
14,"Quick voice recorder note so I don't forget this",,1,someday,,,,2026-03-31T01:00:56.867Z,3
